"user","waktu","komentar","Sentimen"
"sam joss","7 bulan lalu","Pemandangan yang bagus untuk santai dengan keluarga","Positif"
"aditya wicaksono","5 tahun lalu","Lumayan buat refreshing. Tapi naik turun tangga menuju spotnya cukup menguras tenaga haha..","Netral"
"Juhriyanto","4 tahun lalu","Sangat cocok untuk Refresing","Netral"
"Sukid Skd Skd","setahun lalu","Cocok untuk istirahat ngopi dan juga tempatnya indah untu Selfi.","Positif"
"siti rachimah","setahun lalu","Tempatnya nyaman dan indah... Pokoknya gak bikin kita kecewa... 👍👍👍👍❤❤❤❤🇮🇩🇮🇩🇮🇩 …","Positif"
"Idruz Vayruz","3 tahun lalu","Air terjun langsung ke pantai satu satunya di daerah madura.. dan merupakan destinasi wisata yg ckup langka.","Netral"
"Faisol Junaidi","setahun lalu","Bisa di bilang satu²nya air terjun di pulau madura...👍👍 …","Netral"
"Fasta Awdesy","5 tahun lalu","Tempat nya bagus","Positif"
"Arif Wicaksono","2 tahun lalu","lumayan lah","Netral"
"Imam Geniuez","5 tahun lalu","Menurut saya cakep banget klo sore pemandangan nya sangat mendukung sekali","Netral"
"Ikmal Rofahaya M.","2 tahun lalu","Tempat yang cocok untuk ngadem.","Netral"
"arseta sida","5 tahun lalu","Air terjunnya bagus tapi sayangnya sekitar kurang terawat","Positif"
"Rara Pratiwi","2 tahun lalu","Bagus langsung menjorok ke lautan","Positif"
"Widjaya 2608","setahun lalu","kuliner ikan bakar lesehan mantaapp dan enak, bukber mantap tempatnya","Netral"
"Imah Oim","4 bulan lalu","Bagus..indah","Positif"
"Ach.farhan Ramadhan","4 tahun lalu","Lokasi wisata yg masih perawan,perlu sentuhan seniman agar kedepan lebih baik","Netral"
"Erha Agustina","3 tahun lalu","Datanglah saat pagi air laut belum pasang, airnya bening karang terlihat","Netral"
"ilham riskiyanto","4 tahun lalu","Tempat bagus kita bisa lihat AIR terjun yang bisa langsung ke laut...keren","Positif"
"radenmas gatut","3 tahun lalu","unik.....air terjun langsung k laut.....cuma keamanan mash minim......","Netral"
"renita agustiana","3 tahun lalu","Bagus tempatnya.... pinter2 ambil spot foto aja...","Positif"
"Indra Mahendra","5 tahun lalu","Air terjunnya keren deket laut tinggal dijaga dengan baik","Positif"
"Nikmatul Izza","2 tahun lalu","Cukup bagus, bisa untuk tempat foto prewedding.","Positif"
"Heri Purnomo","4 tahun lalu","Bagus dan di tepi jalan raya, sayang airnya kotor campur sampah dan cokelat","Positif"
"Budi Asisi","5 tahun lalu","Nampak beberapa nelayan dan pemancing
Ada tulisan dilarang mandi😁 di air terjun …","Netral"
"Ageng Prabowo","4 tahun lalu","Tempatnya bagus, pengelolaan mungkin bisa lebih ditingkatkan biar tempat ini lebih dikenal.","Positif"
"Mift Zaman","2 tahun lalu","Akan terasa lebih indah ketika menjelang matahari terbenam.","Positif"
"ilmin syarif","4 tahun lalu","Wisata alam yg bagus..hanya saja fasum nya masih kurang","Positif"
"Edi Kurniadi","5 tahun lalu","Panorama alamnya lumayan, sayangnya pantainya karang semua. Pasirnya dikeruk warga dan dijual","Netral"
"Mahrus Zain","setahun lalu","Di keterangan Gratis, pas masuk dikenai tarif tiket 10.000","Netral"
"Alfiyah Nada Trianah","5 tahun lalu","Air terjun yang langsung mengalir ke lautan dipadu dengan sunset yang indah, luar biasa.","Positif"
"DWIKI PRAWITA","3 tahun lalu","mantap","Netral"
"Ibnu Ibnu","2 tahun lalu","Suasana air terjun di pulau garam Madura kecamatan Ketapang kabupaten Sampang Jawa timur","Netral"
"anggie crazyangel77","7 tahun lalu","Alhandulillah ke sana pas september 2015 , walaupun musim kemarau tapi airnya jernih dan kondisi bersih.","Netral"
"satrya tama","5 tahun lalu","Bagi pecinta alam cocok ya,tapi kalau habis hujan harap hati hati🤗 …","Netral"
"Susmiari S. Pd","5 tahun lalu","Air terjun menuju laut..  Cipratan jatuhnya air... Sejuk..","Netral"
"Fifi Raidatul Hasanah","2 tahun lalu","Kurang memuaskan, pelayanan kurang , parkir masih kena mahal.","Negatif"
"Muhtarial Alfan","5 tahun lalu","Air terjun yang indah..namun sayangnya belum dikelola secara optimal..","Positif"
"Theresya Beatriz","5 tahun lalu","Wisatanya kurang dirawat. Tidak bersih.  Cenderung biasa saja.  Jika kesini disarankan pagi hari saja","Netral"
"Abdul Rohim","3 tahun lalu","Fasilitas parkir ok.
Airnya kotor.
Logistik tak ada","Negatif"
"Amar Amhar","2 tahun lalu","Cantik ... eksotis
Air terjun air tawar langsung didepan ombak pantai...","Positif"
"Diita Gembul","3 tahun lalu","salah satu icon wisata yg ada di Ketapang Sampang tempatnya yg nyaman untuk bersantai","Netral"
"Irena Anindita","5 tahun lalu","Bagus, tapi kotor byk sampah. Mhon pemerintah setempat mengelola dgn baik","Positif"
"Muafi Muafi","setahun lalu","Hanya saja  tempat nya kurang terawat","Netral"
"Peter Amirtha","3 tahun lalu","Pemandangan bagus dan ada tempat makannya cukup enak..","Positif"
"Heru Winarno","3 tahun lalu","Ada Cafe nya yg bisa menikmati semilir angin laut","Netral"
"Yusron Surya Pranata","3 tahun lalu","Air Terjun Toroan berada di Ketapang Sampang Madura. Bagus banget pemandangan nya","Positif"
"Ardian malang","3 tahun lalu","Lumayan bagus.....","Positif"
"Eni Rosita","5 tahun lalu","Baru kali ini aku melihat air terjun langsung kelaut....takjub","Netral"
"Vida Brail","3 tahun lalu","Lumayan,jln menuju air terjunnya agak licin","Netral"
"randy andryana","4 bulan lalu","Indah sekali","Positif"
"Samsul Arifin","setahun lalu","Tempatnya bagus 👍👍 …","Positif"
"Andre Rean","5 tahun lalu","Mantap kan bro :v","Netral"
"Arga Fabian","5 tahun lalu","kurang terawat, fasilitas minim. jarak toilet dengan venue lumayan jauh.","Netral"
"Aas Ridwan (Aak)","3 tahun lalu","refreshing with orang2 kantor dan keluarga","Netral"
"abdul kholik","4 tahun lalu","Ada bbrapa spot yg kurang terawat,
Toilet lebih2..","Netral"
"Maya Sari","3 tahun lalu","Air terjun di wilayah Sampang Madura yg langsung bermuara di laut utara Madura","Netral"
"IZMUREEAN","5 tahun lalu","Tempat mudah terjangkau, mungkin kalau lebih bersih sedikit pasti nyaman","Netral"
"Hanan Indra Subakti","5 tahun lalu","Air terjunnya langsung k laut mantab deh pokoknya","Netral"
"Herida Madaya","setahun lalu","Kenangan masa sma dulu..saat masih natural tak terjamah","Netral"
"Aris","4 tahun lalu","bagus sejuk tempatnya","Positif"
"Dicky 2ndPart","setahun lalu","Sangat memuaskan...view g kalah sama bali","Netral"
"Brad Setiawan86","4 tahun lalu","keren destinasinya .. dan gak ada tiket masuk ... kulinernya murah bangeeet","Positif"
"Nury Damwijk","5 tahun lalu","Pemandangannya sangat bagus. Air terjunnya  tinggiiiiiii","Positif"
"Rahmat Mashuri","setahun lalu","smakin berkembang mnjadi wisata pilihan muda mudi","Netral"
"Yanuar Pratama Dicha Putra","setahun lalu","Sangat bagus indah dan sedikit panas","Positif"
"Humaidi depadeh","9 bulan lalu","Kurang baik pengelola lokasi","Netral"
"Mey 21","4 tahun lalu","Untuk yg ska wisata air terjun+ pantai bisa di coba ke sne","Netral"
"yonas setiawan","7 tahun lalu","Kebetulan laut sedang pasang . Jadi tidak bisa mendapatkan foto yang baik.","Netral"
"Dini's Collection","5 bulan lalu","Bagus ..","Positif"
"Afandy Achmad","2 tahun lalu","Keindahan air terjun yang mengalirr , so beautyfull","Positif"
"Safik Gio","4 tahun lalu","Tempat ini sangat sejuk dan nyaman dan wahananya sangat menyenangkan","Netral"
"Fiqhi Rahmatullah","setahun lalu","Tempatnya bagus. HTM murah.","Positif"
"Taufik Hidayat","4 tahun lalu","Pemandangan alam lumayan indah di air terjun titian ketapang","Positif"
"achmad alwy","5 tahun lalu","klo musim hujan kurang bagus air nya g jerni .....","Positif"
"Adhi sucipto","4 tahun lalu","Pemandangan Air Terjun Toroan Bagus sekali dan pakiranya luas saya senang sekali","Positif"
"Golek Duit Channel","2 tahun lalu","Bagus","Positif"
"rifmi utami","5 tahun lalu","Amazing place...bagus untuk tadabur alam, tp tdk untuk mandi...","Positif"
"Labisun Labisun","setahun lalu","Pemandangannya enak sejuk di rasakannya","Netral"
"Ali Hamzah","4 tahun lalu","Air terjun di jalur pantura jawab, tepat berada di pinggir pantai","Netral"
"joe vandoel","4 tahun lalu","Indah air terjun yg berbatasan langsung dgn Laut","Positif"
"KARIM- DARSILO","3 tahun lalu","Sangat senang","Netral"
"Kholik Hamid (Kholik)","5 bulan lalu","Pemandangan yg indah","Positif"
"Dyfandio Daffa","setahun lalu","Keren, air terjun langsung k laut Jawa","Positif"
"Mazz Bakirz","5 tahun lalu","Karna tempatnya sejuk dan bagus Untuk menenangkan fikiran","Positif"
"Nanny Ratnasari","4 tahun lalu","Tempatnya lumayan bagus, tetapi untuk pelayanan makanan masih kurang","Positif"
"Shevia Fernanda","4 tahun lalu","Pemandangannya bagus dan tidak dikenakan biaya saat masuk","Positif"
"Siens Harianto","5 tahun lalu","Indah,,,","Positif"
"Ufi Azki","5 tahun lalu","Bagus. Cuma jauh bangetttt. G terbalas dengan capekknya di jalan","Positif"
"Hairin Maliu","2 tahun lalu","Bagus musim kemarau airnya bening","Positif"
"Helmy Afrul","5 tahun lalu","Obyek foto yang ciamik 👍👍👍 …","Netral"
"Mas Sory","5 tahun lalu","Pemandangannya bagus","Positif"
"Fiki Ari","3 tahun lalu","👍😍 …","Netral"
"Soegiarto Soegiarto","5 tahun lalu","Air Terjun yang indah yg airnya langsung ke laut, lokasi ketapang sampang madura","Positif"
"Darmo Suwoko Wibisono","3 tahun lalu","Air terjun nya kotor & berwarna coklat 😂😂 …","Negatif"
"Kaka Uben","4 tahun lalu","Sangat tepat untuk beristirahat dan pemandangan alamnya sangat indah","Positif"
"Galih Wijaya","4 tahun lalu","Tujuan wisata yg lumayan searah dg pantai nepah","Netral"
"Aynta Rimahim","5 tahun lalu","Bagus banget aku suka😂pengen liburan ke madura lagi bareng keluarga …","Positif"
"Ummi Syafira","3 tahun lalu","Bagus, yg pasti tempatnya sejuk dong","Positif"
"Fakhrur Amin","setahun lalu","Air terjun yang langsng turun ke laut","Netral"
"Agus salim","3 tahun lalu","Nyaman enak","Netral"
"Dinda Daa","2 tahun lalu","Spot fotonya diperbanyak biar ga bosen","Netral"
"M. Abdi Annur","4 tahun lalu","Bagus sekali","Positif"
"Arif Y","5 tahun lalu","Bagus view photo karena langsung turun ke laut","Positif"
"Abdul faidh Zinnun al mishri","3 tahun lalu","Bagus sih cuma kurangnya sarana yg mendukung","Positif"
"Novi Wahyu","5 tahun lalu","Airnya kotor dan sangat deras jika musim hujan","Negatif"
"Derid 1212","4 tahun lalu","Amazing
Air terjun yang jatuh langsung ke laut
😘😘😘
Wonderful …","Netral"
"COMET RNR PLURBALINGGA","3 tahun lalu","Pemandangan yg menghipnotis mata akan keindahan alam","Positif"
"Bieng Soecahya","7 tahun lalu","view nya ok, cuma kotor dan kurang terawat","Negatif"
"pay ical","4 tahun lalu","Recomended","Netral"
"Miftahur Rohman","3 tahun lalu","pemandangan pantai yang indah","Positif"
"Ab za Ab","2 tahun lalu","Tidak seperti awal opening...
Dan sampah berserakan","Negatif"
"Fefa Ariba","3 tahun lalu","Destinasi wisata air terjun di pinggir pantai utara kabupaten sampang","Netral"
"Arisusanti 490","4 tahun lalu","Lumayan jauh tempat'e,,,,","Netral"
"Anisa Fitri","5 tahun lalu","Tempat ini bagus dan juga memberiku kenangan indah yang tak terlupakan","Positif"
"Ermawati Putri","4 tahun lalu","Pemandangan bagus. Tp tdk terawat","Positif"
"Agil","5 tahun lalu","Sangat damai suasananya sejuk pemandangan","Netral"
"Siti Yanti","5 tahun lalu","Eksotik..","Netral"
"Billionaire Preneur","5 tahun lalu","Masih alami & bersih","Netral"
"Awi Frilian","5 tahun lalu","Wisata air terjun turoan","Netral"
"Adi Wardiyanto","5 tahun lalu","Mantap, sejuk dan indah
Oke la pokoknya...","Positif"
"Utaru Cahyo","7 tahun lalu","Kalau musim hujan airnya kotor dan deras","Negatif"
"Mas Jali","5 tahun lalu","Sungguh indahnya melihat air terjun ini","Positif"
"Tri Sukowibowo Koko","3 tahun lalu","Bagus, lebih bagus lagi kalau dikelola dan dibangun.","Positif"
"Wepa Jupiter","5 tahun lalu","Sangat seruu","Netral"
"Moch Chodri","5 tahun lalu","Tmpatnya yg alami,,,
Bagus buat hunting..👍 …","Positif"
"Dicky Iwan Setiawan","5 tahun lalu","Lokasinya mudah dijangkau,  tidak ada tiket masuk","Netral"
"Imam Syafii","7 tahun lalu","Seru banget bro tpi kalo anda mau ke sana hati hati soalnya udh ada korban tenggelam","Netral"
"Marsuqy Sauqy","5 tahun lalu","Sulit ada air terjun jatuhnya ke laut","Netral"
"Silatur Rochman","11 bulan lalu","Pemandangan eksotis pinggir laut","Netral"
"Rafael Denius","7 tahun lalu","Kepengen ke air terjun tpi gc tau tempat nya","Netral"
"Maria Hani","4 tahun lalu","Keindahan darimu Tuhan, terimakasih semoga kami bisa menjaganya","Positif"
"Abdul Asis","5 tahun lalu","Baik untuk penelitian ...!","Netral"
"Soni Hartono","7 tahun lalu","Berbeda dari air terjun yg lain!","Netral"
"Sory Cassanova","5 tahun lalu","Tempat dan pemandangannya sungguh bagus","Positif"
"edy humaidi","7 bulan lalu","Kennengennah nyaman cellep","Netral"
"fifin syafi","4 tahun lalu","Masuknya gratis hanya bayar parkir kendaraan","Netral"
"Sal Sali","4 tahun lalu","Bagus kalo lagi bening airnya .... 😄 …","Positif"
"Yudy Setyawan","setahun lalu","View buat selpie ok banget","Netral"
"Agus Salim","4 tahun lalu","Panorama yg elok cocok buat rekreasi keluarga","Netral"
"Avid Anjala","5 tahun lalu","air terjun yang menarik langsung ke pantai","Netral"
"Rofiq","7 tahun lalu","tempatnya ok,,walau agak terpencil tapi mudah di jangkau","Netral"
"Arifin Suqpin","2 tahun lalu","pemandangan lautnya jg bagus","Positif"
"Zuliani Dalimunthe","4 tahun lalu","Air terjun yang airnya bermuara ke laut...","Netral"
"Azmi Mamee","5 tahun lalu","Tempat bagus si,  tapi kurang terawat","Positif"
"Romzatul W","4 tahun lalu","Bagus gratis","Positif"
"Syafi'i Ns","5 tahun lalu","Tempatnya bagus, cm belum dikelola dengan baik","Positif"
"M Lan (M_Lan97)","8 bulan lalu","Bagus sekali","Positif"
"Ronny Hidayat","5 tahun lalu","Biasa saja","Netral"
"Penjelajah Channel Sampah","2 tahun lalu","Objek wisata yg sangat keren","Positif"
"siti salicha","4 tahun lalu","Air terjunnya sangat indah...","Positif"
"Erwin Brewok","5 tahun lalu","Wisata air terjun yg ada d Madura","Netral"
"Hafidzah Talitha Arifin","7 tahun lalu","Sy di Terminal sampang, arah air terjun Tiruan ke mana ya? Bantu dong","Netral"
"Agus Cahyono","4 tahun lalu","Air terjunx bagus indah langsung turun ke laut","Positif"
"mux mux","3 tahun lalu","tempatnya nyaman, mudah dijangkau","Netral"
"Moh Idris","3 tahun lalu","Pengen kesini lagi soalnya udah lebih mantep....","Netral"
"family time","4 tahun lalu","Jalan raya menuju tempatnya sempit","Netral"
"Raden Budiarta","3 tahun lalu","Tmptnya lumayan ok....view ok","Netral"
"Teguh Firmanudin","setahun lalu","Kurang di kelola dengan baik sayang sekali","Netral"
"Dent mrrengiz Dani Dorez 217","2 tahun lalu","Pemandangannya indah sekali😘 …","Positif"
"abdul qodir","4 tahun lalu","Alternatif wisata pantura","Netral"
"Mustafa Tajuddin","7 tahun lalu","Akses ke air terjun kurang enak","Netral"
"Dedyk Suntoro Atmojo","7 tahun lalu","nice place.. bisa buat preweding","Netral"
"Gusti Ard","4 tahun lalu","Air terjun alami yang jernih jatuh ke laut","Netral"
"MA Syahru dn","setahun lalu","Lumayan","Netral"
"Dody Ajay","3 tahun lalu","Luas sekali lautnya","Netral"
"Didik Suhariyan","3 tahun lalu","Keren","Positif"
"Fandi Far","setahun lalu","Mudah menemukan lokasi yang diinginkan","Netral"
"Mas Fattah","4 tahun lalu","Mungkin kalo bisa lebih bersih lingkungan sekitar akan lebih sipp","Netral"
"Icank Icank","setahun lalu","Pemandangan yg amat indah","Positif"
"kang SAMY","4 tahun lalu","Beda sama yg di foto...  Kotor sekali..","Negatif"
"eksa avanda mukti","5 tahun lalu","Salah satu Tempat Keren di Madura. deket Laut dan jalan Aspal juga","Positif"
"Nanda F","setahun lalu","Kopi rempah nya enak","Netral"
"Suharyono Eko Prasetyo","4 tahun lalu","Air terjun langsung ke laut lepas...","Netral"
"wahyou cahyono","4 tahun lalu","Bagus","Positif"
"Ika Fitria Rahma","4 tahun lalu","gilasih, sunsetnyaa parah abiss ehe","Netral"
"Hafidz Odinsyah","3 tahun lalu","Kalo sunset kayaknya lebih bagus","Positif"
"Ahmad Puji","5 tahun lalu","Air nya dingin seger banget","Netral"
"Husyaimah Ima","5 tahun lalu","Intinya Suka Banget Sama Air Terjun Itu 💞😘 …","Netral"
"Happy Tour Surabaya","4 tahun lalu","Bagus tapi kadang airnya sangat keruh","Positif"
"Amirullah Rahman","3 tahun lalu","rekomandasi tempat liburan","Netral"
"AL Makki","2 tahun lalu","Tempat nya kotor, dan sempit","Negatif"
"Ars Ns","5 tahun lalu","Bagus indah masuknya cuman 10000","Positif"
"Tuan Amos","5 tahun lalu","Biasa aja..dilarang nyemplung berenang","Netral"
"Rahasdita Reo Hansdoko","4 tahun lalu","Sangat bagus, sejuk dan dingin...","Positif"
"Aliefun Remos","7 tahun lalu","Bagus.. g' kecewa jauh"" kesana...","Positif"
"Ayu Dwi","3 tahun lalu","Rasanya aku ingin jeburan disana wkwk","Netral"
"Adiey Mayezz","2 tahun lalu","Perlu di upgrade lagi biar lebih waw","Netral"
"B channel","4 tahun lalu","Datang pas air pasang, jd kurang bagus","Negatif"
"Ferri Indra","2 tahun lalu","Bagus pemandangan nya","Positif"
"Timoty Johan","setahun lalu","Kotor, kebersihan area tidak dijaga","Negatif"
"Yudi Kiswanto","4 tahun lalu","Air terjunnya cukup indah","Positif"
"Abil Malik","2 tahun lalu","Perlu penataan ulang,hingga menambah keajaiban","Netral"
"Wawan Master","3 tahun lalu","Air terjunnya indah sejuk","Positif"
"Alfan Isubahry","setahun lalu","suasana alamnya masih asri","Netral"
"William Patrick","5 tahun lalu","Bagus,  tpi sayang kurang kerawat","Positif"
"Otnay91","4 tahun lalu","Lokasinya cukup jauh, tapi lumayan indah","Positif"
"Mask of Smiling","4 tahun lalu","Ada toiletnya...ada musholanya..","Netral"
"Hoirul Anwar","2 tahun lalu","Indah","Positif"
"Mahendra's Family","3 tahun lalu","Bagus tapi maaf tidak sempat ambil foto","Positif"
"Umam Shof","2 tahun lalu","Mamtaap jooss g rugi trip ke sini","Netral"
"Ri zal","setahun lalu","Menakjubkan","Netral"
"Mrs. VE","5 tahun lalu","Pemandangan indah, butuh sentuhan tangan pemangku kekuasaan","Positif"
"Rizqi Ramanda","9 bulan lalu","Info kontrak an dekat sini 🙏 …","Netral"
"Markaz Channel","4 tahun lalu","Airnya bening dan suasananya sejuk","Netral"
"Hyper Sony","4 tahun lalu","bagus . recom lah","Positif"
"Yuni _Ayu","2 tahun lalu","Murah meriah
Malah kadang gratis","Positif"
"angga apache","5 tahun lalu","Mencari sunset..","Netral"
"Fadol Labo Labo","5 tahun lalu","Soal nya Satu2 nya air turjun di madura","Netral"
"Itb Rony","setahun lalu","Ok banget","Netral"
"Risky Putra","4 tahun lalu","Mantp air terjun pinggir pantai","Netral"
"Ardik Wijayanto","5 tahun lalu","Bagus, air terjun ke pantai","Positif"
"Machrita N.I.","3 tahun lalu","Air terjun yang cocok untuk short vacation","Netral"
"hairul umam","3 tahun lalu","Airnya jernih banget :)","Netral"
"Afiq R. Official","3 tahun lalu","Lebih di tingkatkan lagi pemeliharaannya.","Netral"
"Hobiburrohman Arrohman","9 bulan lalu","Sangat senanng dan bahagia","Netral"
"Chusni Mubarok","5 tahun lalu","Air terjun langsung pinggir pantai","Netral"
"Sholichul Hadi","4 tahun lalu","Air terjun langsung kelaut","Netral"
"Achmad Suryono","4 tahun lalu","tempat wisata pantai yang bagus","Positif"
"ROHIL AUDIO OFFICIAL","5 tahun lalu","Air terjunnya indah","Positif"
"exgen 934","5 tahun lalu","Air terjun di padu sama laut","Netral"
"Shobry Aly muhgni","3 tahun lalu","Indah sekali","Positif"
"Muhammad Nefil","5 tahun lalu","Air terjun yg indah","Positif"
"avi Fahmy","7 tahun lalu","Pmandanganx indah tp syng krang d prhtikn","Positif"
"Frame8 Photoworks","5 tahun lalu","Cakep pada bulan 2 tertentu saja","Netral"
"Pak Iqbal","3 tahun lalu","Tempatnya bagus buat kesehatan","Positif"
"Siti Nurul","4 tahun lalu","Bagus....cma sedikit seram..","Positif"
"Eko Mustiyono","4 tahun lalu","lumayan, cuma kurang tertata dengan baik","Netral"
"Gus Bayu","2 tahun lalu","Dua bintang dulu,lihat my cennel youtube","Netral"
"Jienz Ed","5 tahun lalu","Masih bnyak sampah yg berserakan","Negatif"
"Hafiluddin","3 tahun lalu","Tempatnya sangat bagus,","Positif"
"sam adhi","3 tahun lalu","adem","Netral"
"Afida Anakmami","5 tahun lalu","Niagara KW 😅😅 …","Netral"
"Rahmat Rahmat","3 tahun lalu","Indanya pemandangan nya","Netral"
"Evi Kitty","7 tahun lalu","Penasarannn... Gak pernah nyampek kesana","Netral"
"Fakhrur Rozi","3 tahun lalu","Indah","Positif"
"Ar Man","5 tahun lalu","Gelombang lautnya lumayan besar","Netral"
"Ainul Anwar","setahun lalu","Lumayan keren","Positif"
"ALI ARIFIN","4 tahun lalu","Tempat lumayan bersih dan nyaman","Netral"
"Aris W","5 tahun lalu","Masih bisa digarap lebih bagus lg","Positif"
"Dito Erlangga","4 tahun lalu","Rugi saya datang saat sedang keruh","Netral"
"Uzh Madury","4 tahun lalu","Alamiah banget. Pas buat suasana wekend","Netral"
"enny herawati","9 bulan lalu","Bagus untuk dikunjungi","Positif"
"Ita Purwanti","4 tahun lalu","Kereeennn abiiizzz... Pengen kesana lagi...","Netral"
"Heri Purnomo","4 tahun lalu","Perlu sentuhan lagi agar lebih bersih","Netral"
"Andri Bahtiar","setahun lalu","Sesuai","Netral"
"Alya Jasmien","setahun lalu","Tempatnya bagus","Positif"
"kholil ahmad","5 tahun lalu","Salah satu destinasi wisata d Sampang, Madura","Netral"
"Nukman Ae Cak Man","4 tahun lalu","Bagus dan murah tiket ny","Positif"
"Gaya Reload","2 tahun lalu","Lokasi Aman dan bersahabat","Netral"
"Mathusin bin harun Harun","9 bulan lalu","Toro'an dekat rumah saya","Netral"
"Zain Zikakito","2 tahun lalu","Bagus pemandangannya","Positif"
"Cak Nanang Oi Nanang Oi Pribumi","7 tahun lalu","Bagus gak nyesel main kgesini","Positif"
"Iqbal K Sukasdi","3 tahun lalu","Parkir mobil enggak ada","Netral"
"Rahmat Dandi","4 tahun lalu","Bagus untuk spot foto.","Positif"
"Sugeng Candra Kirana","7 tahun lalu","Kotor kurang bersih tempatnya....","Negatif"
"Sri Wahyuni","3 tahun lalu","Wisata murah meriah","Positif"
"Nia Happy-Happy Official","2 tahun lalu","Bagus sayang jauh","Positif"
"Wawie Erorr","3 tahun lalu","Bagus udaranya seger","Positif"
"Saiful Anam","5 tahun lalu","Air terjun Toroan Memang Mantap","Netral"
"Dussakur","setahun lalu","Parkirannya kemahalan","Negatif"
"Richo M Reza","setahun lalu","Tempat buat bengong","Netral"
"lilis maratus","5 tahun lalu","Tempat ini nyaman untuk berwisata","Netral"
"Koko Traveler sejati","setahun lalu","Lumayan bagus","Positif"
"arifin yazid channel","3 tahun lalu","Bagus untuk ber wisata","Positif"
"Raqi Zidan","4 tahun lalu","tempatnya bersihdan rapi amazing","Netral"
"Abu Nayeef","4 tahun lalu","Good pemandangan nya","Netral"
"Budi Utomo","4 tahun lalu","Bagus tapi perawatan kurang.","Positif"
"frandik us (prandik)","5 tahun lalu","airnya kurang bersih","Netral"
"Fajar anugerah","setahun lalu","Banyak nyamuk","Netral"
"Mohamad Dimyati Yusuf","5 tahun lalu","lokasi terlihat dr jalan raya","Netral"
"ongko wijoyo","4 tahun lalu","Sejuk, masih alami","Netral"
"Sengkok Romli","5 tahun lalu","Temapatnya indah dan sangat strategis","Positif"
"Ridoi Ozora","5 tahun lalu","Bisakah mobil masuk","Netral"
"yudi rosadi","3 tahun lalu","Indah sekali, tidak akan menyesal 😊 …","Positif"
"Adi Aja","5 tahun lalu","Air terjun toroan seruuuu....😮 …","Netral"
"Anton Siswanto","setahun lalu","Sungguh bagus banget","Positif"
"Alwi Sihab","7 tahun lalu","Air terjun yg terindah di madura","Positif"
"Rozi Planner","3 tahun lalu","Bagus tempatnya","Positif"
"Lets Do It","2 tahun lalu","Kurang terawat","Netral"
"Fanani Achmad","3 tahun lalu","Biasa aja","Netral"
"Iis Hariyanti Yanti","3 tahun lalu","Saya suka pantai,","Netral"
"Rosis Zeini","4 tahun lalu","Mantap","Netral"
"kharis putra","9 bulan lalu","Siip","Netral"
"GRACIA SALON","3 tahun lalu","Bagus oke","Positif"
"Aiinie Nozya","4 tahun lalu","Tenang . Sepi","Netral"
"Nur Hidayat","4 tahun lalu","Akses mudah,,, lokasi di pinggir jln","Netral"
"Laily Widya","7 tahun lalu","Sayangnya pas banjir :')","Netral"
"Tania P Putri","3 tahun lalu","Tak sebagus di foto","Positif"
"idexpress ketapang","2 tahun lalu","Semoga terus berkembang","Netral"
"Saiful jabejo","10 bulan lalu","Mantap","Netral"
"Achmad Renaldi","4 tahun lalu","Mantul, hanya saja sampahnya","Negatif"
"Zuhdi Sulaiman","5 tahun lalu","Masih dalam tahap perbaikan","Netral"
"Shiddik Dolar Damay Nya Pncr","5 tahun lalu","Klo madura sungguh indah sekaliy","Positif"
"Prasetyo Adi","5 tahun lalu","Sederhana.... Natural.... Tapi exotic","Netral"
"Mohammad Hasan","10 bulan lalu","Bagus","Positif"
"Achmad Ubaidillah","5 tahun lalu","Lumayan","Netral"
"Fazaarez","4 tahun lalu","Keren cuy","Positif"
"Farisa Geosany","3 tahun lalu","Tdk seindah sprti gambarnya","Positif"
"Amin Oziel","setahun lalu","Lumayan lah","Netral"
"Win Winarno","5 tahun lalu","Tempat yg enak unt santai","Netral"
"sri bimo adhi yudhono","3 tahun lalu","Bagusnya tdk terduga","Positif"
"mul yadi","7 tahun lalu","Sipp.. indah.. perlu d kunjungi","Positif"
"BAGAS PUTRA","4 tahun lalu","Parkirnya Mahal","Negatif"
"Syaiful Bahri","3 tahun lalu","Suasanax Indah menyenangkan","Positif"
"Zainur Ridho","2 tahun lalu","Keren Pokoknya... 😎 …","Positif"
"Ghir Sereng","7 tahun lalu","Enak kalo buat liburan","Netral"
"SULTHAN Videography","3 tahun lalu","sangat nyaman dan sejuk","Netral"
"Abie Ole Olang","5 tahun lalu","Obyek Legendaris di Pantai Utara Madura","Netral"
"Farah Alzhar","4 tahun lalu","Tempat nya bagus","Positif"
"Zainia Lauhim","3 tahun lalu","Buat menghibur dri sendri","Netral"
"Cak Ardy","4 tahun lalu","Indah Air terjunnya","Positif"
"risman ynt","5 tahun lalu","Bagus unik alami","Positif"
"21-003_ Raihan Fadillah","5 tahun lalu","👇🏻👎🏻 …","Netral"
"Reno official","2 tahun lalu","Wisata ini tetangga saya","Netral"
"Alfian Risky","5 tahun lalu","Karna tempatnya sangat indah","Positif"
"Abdullah assaydani","3 tahun lalu","Bagus sekali","Positif"
"Satria Imandaka Pradana","5 tahun lalu","Tempat terjangkau","Netral"
"Moh. Wahed Hasim Asary","5 tahun lalu","Air terjun so beautiful","Netral"
"shole huddin","setahun lalu","Bagus","Positif"
"nanang pribumi","8 tahun lalu","gak rugi datang kesini","Netral"
